latitude,longitude,event_date,rainfall_24h,rainfall_72h,landslide_occurred
32.99132221,75.19427899,2017-04-12 13:34:00,0.0,0.0,1
40.866917,-123.034161,2017-03-07 16:30:00,12.9,36.8,1
51.3681,-0.4367,2007-07-05 00:00:00,4.2,14.6,1
38.163,-82.5052,2014-04-12 12:00:00,0.1,3.7,1
40.7118,-111.798,2009-04-15 09:00:00,11.8,20.9,1
27.4211,85.0249,2007-08-19 00:00:00,13.1,136.0,1
42.899,-124.0854,2012-12-02 00:00:00,29.4,88.7,1
-0.5605,37.0488,2013-04-21 00:00:00,11.0,19.9,1
24.9936,98.4927,2014-07-10 05:00:00,10.1,17.8,1
38.6009,-77.2682,2007-03-02 23:00:00,17.7,20.8,1
41.58207707,42.00481323,2017-02-25 21:39:00,0.0,14.6,1
26.8712,88.3052,2010-07-04 00:00:00,9.6,100.1,1
60.4279,9.398,2007-07-03 00:00:00,44.6,50.9,1
10.8388,123.495,2012-01-10 15:50:00,15.3,30.0,1
37.5513,-83.3614,2015-09-28 12:00:00,0.5,15.5,1
27.98531715,94.21263589,2017-07-04 19:39:00,79.5,138.3,1
5.0569,-75.5271,2011-03-28 00:00:00,44.6,169.1,1
50.2413,-57.5843,2007-04-15 02:30:00,0.0,0.0,1
26.1868,91.6739,2015-09-01 00:00:00,35.3,132.0,1
40.6850016,-122.042456,2017-01-10 20:35:00,37.2,193.0,1
-35.047,173.7463,2008-02-23 00:00:00,56.1,109.8,1
43.6698,40.298,2014-07-27 00:00:00,4.5,7.8,1
38.297838,-120.704661,2016-10-30 14:24:00,25.0,51.6,1
55.4021,-131.72,2014-10-13 16:30:00,18.0,67.3,1
46.2128,-122.9199,2015-11-16 00:00:00,21.9,91.69999999999999,1
49.1797,-121.7407,2014-11-08 14:00:00,0.0,42.8,1
48.1393,-122.6011,2013-03-27 03:45:00,0.3,0.3,1
7.7299,125.0989,2011-07-16 20:00:00,13.2,35.6,1
38.498,-106.08,2008-08-23 00:00:00,5.4,5.4,1
11.398541,109.003601,2016-10-30 14:24:00,6.6,21.7,1
44.0304,-92.4671,2007-08-18 00:00:00,42.2,42.2,1
33.3,-116.9135,2008-11-26 00:00:00,34.1,35.7,1
51.3255,-2.9339,2012-11-21 18:00:00,35.5,53.4,1
37.64,-81.8769,2015-03-04 00:00:00,40.7,48.400000000000006,1
0.744821843,120.5927163,2017-06-13 13:27:00,4.4,14.5,1
52.6901,-3.8666,2011-04-03 03:20:00,4.3,8.2,1
-18.1347,178.4267,2016-10-09 23:00:00,8.8,14.600000000000001,1
37.4198,-107.8385,2016-08-07 00:00:00,0.3,37.0,1
11.2965,-60.6312,2007-11-17 00:00:00,28.5,56.1,1
27.3414,86.7506,2013-09-12 23:00:00,5.8,36.4,1
26.6582,107.9327,2013-02-18 11:00:00,8.2,12.6,1
35.3368,-84.0317,2013-01-17 09:00:00,33.9,108.7,1
49.6302922,-117.5373036,2017-05-09 13:28:00,0.0,0.6000000000000001,1
26.1324,91.8342,2014-09-22 00:00:00,55.8,142.1,1
40.1129,-123.7984,2012-03-20 09:00:00,1.7,3.4,1
-37.839925,177.595887,2016-11-11 15:00:00,3.1,3.1,1
47.67463292,-117.226052,2017-06-01 13:34:00,0.5,3.1999999999999997,1
34.58916028,74.24641226,2017-04-18 14:28:00,0.0,0.0,1
24.75,93.4333,2007-10-21 00:00:00,1.4,17.400000000000002,1
39.101,-84.822,2007-12-08 00:00:00,5.9,8.3,1
9.2279,-82.3808,2015-05-24 23:30:00,7.9,21.700000000000003,1
49.0022,-122.7576,2011-03-31 00:30:00,14.2,46.9,1
50.73336291,-1.646321046,2017-05-10 13:28:00,0.0,0.0,1
51.0552,-0.845,2013-12-24 00:00:00,20.1,40.9,1
39.35900577,-123.5095595,2017-01-03 19:12:00,32.2,43.6,1
51.7579283,-3.795446854,2017-03-01 21:51:00,6.9,26.3,1
13.90074546,74.66018578,2017-06-12 13:27:00,175.5,568.6999999999999,1
27.703,85.3183,2011-07-21 00:00:00,10.4,76.5,1
31.10312666,77.20355516,2017-09-02 15:08:00,9.6,42.3,1
28.9446,82.2494,2014-08-13 00:00:00,12.0,22.1,1
40.5459,39.5272,2009-11-21 00:00:00,33.2,52.0,1
-9.2965,-77.6613,2008-04-11 00:00:00,8.7,26.599999999999998,1
33.9337,74.9985,2008-04-05 00:00:00,36.2,54.300000000000004,1
20.855596,-156.168305,2016-11-21 15:00:00,10.3,26.1,1
34.379152,-118.402419,2016-12-16 14:35:00,13.4,14.1,1
17.3165,-62.7955,2016-08-04 09:00:00,4.3,5.5,1
53.0586,-3.0939,2013-05-15 08:45:00,29.5,37.3,1
24.7543,93.5039,2010-06-07 00:00:00,10.2,21.7,1
22.2106,-159.4773,2016-08-06 09:00:00,1.4,4.2,1
10.50547001,105.3439054,2017-04-22 18:27:00,5.0,5.8,1
21.2228,104.0836,2013-09-05 00:00:00,76.5,108.8,1
45.087,-122.0578,2012-03-16 09:00:00,20.0,58.599999999999994,1
29.3014,108.1536,2007-04-02 00:00:00,13.6,28.4,1
9.9271,-84.4568,2010-07-30 09:30:00,8.2,31.799999999999997,1
6.817009,11.240935,2016-11-07 15:00:00,0.0,0.0,1
37.5457,-82.7778,2014-04-30 23:00:00,23.3,50.1,1
41.8907,44.7519,2010-04-25 00:00:00,2.8,47.6,1
36.9566,-121.6815,2009-10-13 00:00:00,97.7,98.0,1
45.6993,-121.895,2007-02-15 00:00:00,46.9,63.5,1
14.5854,121.0709,2012-10-25 00:00:00,36.6,40.9,1
39.838,-80.6061,2015-03-05 23:00:00,14.4,61.0,1
38.376,-120.5597,2016-03-06 00:00:00,44.9,120.3,1
37.61662149,-122.4852077,2017-01-09 19:12:00,8.2,68.5,1
25.69111465,94.09483333,2017-07-12 13:28:00,15.4,137.4,1
38.4006,-81.6171,2013-07-12 00:00:00,4.6,22.0,1
40.325565,-80.60591,2016-12-01 14:24:00,0.7,18.0,1
-38.0195,143.4171,2016-10-02 00:00:00,15.8,26.1,1
37.25520686,-107.017168,2017-04-14 17:55:00,0.0,0.4,1
38.5313,-118.4526,2014-08-07 00:00:00,0.0,2.2,1
28.8665,79.5682,2011-08-12 00:00:00,11.5,53.4,1
40.4324,-80.0073,2012-12-21 11:50:00,7.2,20.9,1
